aX,aY,aZ,gX,gY,gZ
1.044,-0.288,0.090,4.639,-139.771,-51.941
1.056,-0.185,0.081,-3.357,-126.892,-35.583
1.046,-0.112,0.068,-13.062,-112.183,-25.879

1.249,-0.364,1.579,-135.010,132.507,66.895
1.260,-0.363,1.949,-146.912,245.178,72.571
1.443,-0.041,2.161,-127.258,373.535,78.308
1.157,-0.052,1.973,-90.759,493.591,89.966
1.065,-0.396,1.313,-84.839,605.164,73.853
0.989,-0.106,0.777,-115.662,684.021,57.434
0.823,0.228,-0.047,-107.727,705.994,50.842
0.491,0.386,-0.716,-72.083,658.203,2.380
0.136,0.396,-1.326,-12.268,570.190,-54.626
-0.163,0.336,-1.795,51.880,463.745,-97.778
-0.498,0.192,-2.081,117.188,347.900,-125.488
-0.790,-0.142,-2.140,180.176,230.530,-132.874
-0.854,-0.317,-1.983,206.543,140.625,-106.262
-0.774,-0.208,-1.719,193.970,89.172,-51.453
-0.525,0.049,-1.557,169.861,72.449,2.136
-0.390,0.271,-1.381,140.320,71.045,34.302
-0.268,0.356,-1.338,105.591,79.834,44.800
-0.120,0.428,-1.345,72.937,84.412,48.218
-0.055,0.479,-1.292,57.800,67.444,47.363
-0.016,0.475,-1.220,52.979,44.556,39.734
0.015,0.455,-1.138,45.898,25.940,31.250
0.062,0.450,-1.087,36.377,13.428,23.743
0.113,0.454,-1.080,27.039,6.226,16.479
0.153,0.464,-1.105,18.188,0.916,8.972
0.201,0.470,-1.145,12.634,-6.653,1.404
0.224,0.435,-1.148,10.071,-20.569,-6.836
0.252,0.384,-1.077,11.658,-39.551,-14.587
0.258,0.302,-0.987,11.414,-53.833,-21.118
0.264,0.234,-0.923,6.775,-59.814,-24.841
0.276,0.169,-0.893,3.723,-61.707,-25.269
0.287,0.113,-0.906,1.465,-62.317,-23.621
0.291,0.073,-0.953,-0.793,-62.317,-19.592
0.299,0.058,-0.999,-3.235,-64.209,-14.099
0.311,0.045,-1.036,-4.883,-69.580,-7.935
0.322,0.054,-1.066,-7.324,-76.294,-1.587
0.338,0.084,-1.078,-10.315,-83.496,6.287
0.370,0.112,-1.054,-11.353,-92.834,14.526
0.417,0.154,-0.972,-10.498,-103.210,19.653
0.469,0.179,-0.853,-6.714,-113.464,22.583
0.527,0.198,-0.729,-3.723,-118.835,19.043
0.562,0.195,-0.625,-2.686,-115.112,11.108
0.600,0.234,-0.583,-3.845,-105.408,2.136
0.651,0.206,-0.583,-5.859,-93.933,-8.850
0.673,0.187,-0.633,-6.836,-82.825,-16.663
0.674,0.183,-0.707,-9.583,-75.623,-19.897
0.650,0.177,-0.786,-13.794,-71.777,-21.118
0.614,0.185,-0.873,-19.226,-69.458,-20.264
0.605,0.207,-0.937,-24.292,-70.007,-18.738
0.603,0.216,-0.924,-24.170,-76.660,-18.188
0.615,0.220,-0.863,-19.043,-86.914,-19.165
0.642,0.198,-0.776,-12.146,-96.863,-24.719
0.678,0.155,-0.691,-4.883,-103.821,-30.334
0.694,0.118,-0.638,1.038,-106.995,-33.691
0.699,0.093,-0.611,4.578,-106.934,-35.400
0.710,0.070,-0.598,5.615,-104.675,-35.461
0.719,0.079,-0.621,3.906,-100.220,-33.142
0.767,0.095,-0.674,0.183,-95.886,-29.602
0.759,0.132,-0.755,-3.784,-95.886,-24.353
0.749,0.183,-0.800,-7.263,-99.854,-18.677
0.718,0.204,-0.822,-9.277,-107.544,-16.541

0.864,-0.363,1.651,-158.569,274.353,55.969
0.879,-0.314,1.640,-158.630,398.254,77.576
0.944,-0.073,1.359,-177.307,519.836,100.891
0.864,0.246,0.691,-206.909,633.240,108.459
0.692,0.412,-0.057,-232.300,708.801,80.811
0.403,0.362,-0.651,-235.168,722.778,23.071
0.230,0.117,-1.282,-200.439,675.476,-36.560
0.158,-0.167,-1.849,-142.151,575.073,-77.271
-0.057,-0.343,-2.288,-74.341,425.537,-85.327
-0.302,-0.328,-2.294,5.005,264.893,-72.510
-0.361,-0.410,-2.150,93.872,125.061,-63.293
-0.378,-0.463,-1.851,148.132,25.146,-42.908
-0.362,-0.382,-1.552,152.100,-21.851,-4.395
-0.207,-0.179,-1.256,124.756,-27.283,36.072
0.002,0.039,-1.017,91.003,-9.155,63.354
0.202,0.207,-0.919,60.974,15.991,73.669
0.384,0.336,-0.935,42.175,30.945,70.190
0.474,0.411,-0.977,36.621,28.748,56.335
0.473,0.422,-1.022,34.851,18.738,38.147
0.428,0.407,-1.063,28.442,8.728,20.081
0.404,0.381,-1.115,19.226,1.892,5.920
0.406,0.353,-1.153,11.536,-4.944,-4.211
0.408,0.329,-1.173,6.226,-14.465,-11.902
0.411,0.292,-1.141,2.808,-26.245,-18.066
0.431,0.251,-1.064,4.517,-39.368,-22.522
0.453,0.203,-0.960,9.033,-52.002,-25.879
0.476,0.147,-0.835,13.428,-61.157,-28.381
0.495,0.095,-0.742,14.954,-63.538,-28.870
0.503,0.054,-0.705,12.939,-57.312,-27.344
0.532,0.012,-0.718,9.033,-46.936,-23.560
0.567,0.015,-0.749,6.287,-37.109,-15.686
0.595,0.039,-0.799,3.052,-29.846,-7.446
0.611,0.061,-0.859,-0.549,-24.475,-1.831
0.630,0.104,-0.906,-3.418,-22.339,1.343
0.628,0.125,-0.940,-3.418,-23.682,2.747
0.630,0.148,-0.951,-3.723,-27.893,2.930
0.620,0.169,-0.932,-3.418,-32.593,2.075
0.623,0.174,-0.899,-1.221,-36.621,-0.977
0.613,0.196,-0.858,1.160,-38.940,-4.944
0.617,0.175,-0.790,2.869,-40.161,-12.268
0.631,0.138,-0.771,5.859,-38.757,-19.409
0.630,0.102,-0.742,7.202,-35.950,-23.071
0.626,0.061,-0.725,8.545,-33.203,-24.719
0.624,0.036,-0.731,9.094,-29.358,-23.682
0.618,0.029,-0.760,7.324,-25.513,-19.531
0.613,0.046,-0.801,4.944,-22.095,-14.221
0.611,0.078,-0.834,2.319,-20.447,-9.766
0.609,0.103,-0.854,0.000,-19.226,-7.629
0.598,0.098,-0.853,-1.343,-19.531,-7.996
0.604,0.097,-0.834,0.000,-21.973,-8.545
0.628,0.105,-0.800,2.563,-24.231,-8.057
0.645,0.106,-0.763,3.540,-25.146,-8.972
0.657,0.114,-0.739,3.601,-24.414,-9.827
0.670,0.114,-0.735,3.845,-21.912,-10.376
0.668,0.092,-0.725,3.113,-18.677,-11.047
0.663,0.075,-0.728,1.709,-15.015,-10.681
0.665,0.071,-0.734,-0.427,-11.169,-8.789
0.653,0.074,-0.747,-2.258,-7.385,-7.141
0.652,0.074,-0.767,-4.089,-4.272,-6.104
0.661,0.070,-0.792,-4.211,-2.258,-4.395

-0.409,-0.662,-2.100,-202.942,377.075,-39.001
-0.442,-0.635,-2.013,-136.719,236.328,-27.344
-0.467,-0.772,-1.750,-12.695,105.530,-25.818
-0.328,-0.811,-1.452,110.046,10.803,-6.897
-0.144,-0.479,-1.036,150.269,-39.795,36.560
0.017,-0.186,-0.747,134.094,-38.086,69.824
0.234,0.029,-0.685,99.609,-3.479,79.956
0.388,0.111,-0.750,65.002,32.898,76.721
0.451,0.192,-0.884,39.124,54.199,68.604
0.485,0.221,-1.033,24.902,58.350,57.434
0.496,0.257,-1.112,18.188,47.058,45.349
0.466,0.266,-1.182,18.311,28.748,29.724
0.435,0.213,-1.227,25.208,10.315,11.780
0.424,0.177,-1.215,28.442,-8.789,-0.183
0.435,0.163,-1.148,28.442,-26.794,-5.615
0.450,0.154,-1.052,26.794,-39.917,-9.766
0.476,0.148,-0.954,26.245,-48.462,-14.221
0.506,0.130,-0.866,28.931,-54.871,-19.653
0.541,0.083,-0.788,33.508,-59.265,-24.963
0.553,0.033,-0.693,34.790,-59.326,-27.893
0.573,0.006,-0.664,29.724,-50.781,-26.184
0.594,-0.011,-0.708,21.362,-35.583,-21.301
0.606,-0.002,-0.779,13.794,-21.240,-13.977
0.625,0.034,-0.848,9.827,-12.329,-6.470
0.639,0.071,-0.900,8.606,-10.010,-2.625
0.656,0.105,-0.924,7.690,-11.658,-2.686
0.663,0.127,-0.930,8.301,-15.564,-5.005
0.667,0.130,-0.929,10.315,-20.081,-9.399
0.667,0.127,-0.911,12.817,-25.635,-14.465
0.664,0.111,-0.885,14.771,-31.372,-19.714
0.650,0.083,-0.857,15.930,-36.011,-24.414
0.638,0.061,-0.828,15.808,-38.635,-27.710
0.631,0.039,-0.806,15.137,-38.940,-28.748
0.625,0.018,-0.806,13.123,-36.560,-27.771
0.628,0.004,-0.838,9.583,-33.020,-24.902
0.623,0.010,-0.855,6.470,-31.555,-20.630
0.618,0.043,-0.848,5.554,-32.410,-17.334
0.612,0.043,-0.832,6.226,-34.424,-17.700
0.618,0.018,-0.833,7.629,-36.133,-19.592
0.625,0.013,-0.844,10.315,-38.025,-19.104
0.635,0.032,-0.848,13.245,-41.565,-17.395
0.634,0.039,-0.855,15.808,-45.349,-16.785
0.636,0.023,-0.870,17.761,-49.316,-17.639
0.688,0.032,-0.915,19.714,-55.359,-17.334
0.729,0.077,-0.953,21.851,-65.430,-17.456
0.718,0.132,-0.984,26.184,-80.139,-21.362
0.664,0.140,-1.053,32.898,-96.802,-29.602
0.616,0.142,-1.080,38.025,-115.112,-34.790
0.597,0.126,-1.070,48.584,-136.108,-36.865
0.619,0.115,-1.017,60.547,-161.865,-36.987
0.634,0.114,-0.933,68.542,-187.927,-36.499
0.645,0.143,-0.807,68.176,-209.473,-34.973
0.659,0.132,-0.698,64.819,-223.938,-34.851
0.635,0.077,-0.610,59.326,-231.445,-36.743
0.673,0.078,-0.510,49.805,-229.065,-36.194
0.686,0.129,-0.453,46.082,-225.891,-37.354
0.721,0.120,-0.405,46.021,-221.802,-45.166
0.761,0.099,-0.380,46.753,-216.003,-51.819
0.797,0.072,-0.387,46.936,-213.013,-56.946
0.804,0.047,-0.404,49.072,-214.478,-60.242

0.531,0.050,1.058,-145.264,437.378,61.951
0.575,-0.165,0.894,-76.050,542.664,53.467
0.591,-0.014,0.520,-69.641,615.417,51.697
0.520,-0.004,-0.185,-66.589,676.636,45.837
0.688,0.085,-0.596,-105.347,708.740,45.837
0.484,0.035,-1.041,-124.512,677.551,31.860
0.311,0.092,-1.348,-104.553,599.060,8.057
0.216,0.052,-1.596,-68.176,498.962,-19.775
0.172,0.023,-1.819,-33.325,397.217,-40.833
0.106,-0.126,-1.955,13.306,285.522,-58.655
-0.005,-0.249,-1.844,65.002,172.241,-61.829
-0.107,-0.295,-1.632,104.858,82.092,-46.143
-0.133,-0.245,-1.468,116.638,29.419,-17.944
-0.057,-0.102,-1.361,107.544,9.216,11.108
0.074,0.073,-1.284,91.858,4.944,33.142
0.191,0.181,-1.242,78.613,2.808,42.847
0.323,0.253,-1.225,68.542,-4.578,43.579
0.450,0.286,-1.119,59.143,-16.541,37.964
0.488,0.324,-0.952,44.556,-23.804,27.893
0.528,0.333,-0.910,26.245,-19.897,17.151
0.551,0.324,-0.931,11.353,-11.292,6.104
0.562,0.292,-0.970,0.366,-7.019,-4.456
0.554,0.231,-1.011,-6.653,-7.996,-14.282
0.522,0.184,-1.002,-8.728,-13.794,-20.447
0.498,0.135,-0.950,-6.348,-22.949,-23.987
0.487,0.075,-0.896,-2.686,-29.907,-26.001
0.500,0.031,-0.842,0.000,-32.166,-24.719
0.506,0.015,-0.802,-0.122,-29.724,-22.217
0.542,0.008,-0.798,0.732,-24.231,-17.456
0.587,0.019,-0.818,2.869,-19.226,-11.658
0.616,0.046,-0.839,4.211,-17.090,-6.592
0.634,0.071,-0.852,4.761,-15.808,-4.578
0.643,0.091,-0.863,3.418,-13.977,-5.554
0.655,0.087,-0.883,1.221,-11.719,-7.751
0.629,0.085,-0.906,-0.061,-10.986,-9.216
0.599,0.078,-0.926,-1.160,-13.428,-10.376
0.572,0.067,-0.942,0.366,-18.616,-10.864
0.543,0.059,-0.954,2.930,-26.001,-11.108
0.509,0.054,-0.963,5.676,-34.424,-11.108
0.478,0.043,-0.959,6.165,-42.786,-11.536
0.471,0.064,-0.958,6.348,-50.476,-10.681
0.481,0.072,-0.939,7.202,-57.983,-9.399
0.506,0.099,-0.904,8.118,-65.857,-9.888
0.529,0.098,-0.848,10.071,-70.923,-10.681
0.553,0.141,-0.785,12.146,-72.876,-11.719
0.581,0.103,-0.790,12.146,-70.068,-17.090
0.612,0.102,-0.772,9.583,-66.711,-23.193
0.623,0.097,-0.787,11.841,-65.491,-23.315
0.626,0.080,-0.831,15.564,-65.002,-22.095
0.631,0.096,-0.846,14.282,-65.002,-19.958
0.634,0.102,-0.840,12.878,-67.078,-17.578
0.644,0.115,-0.811,10.254,-70.068,-16.602
0.661,0.116,-0.777,8.057,-72.021,-16.968
0.682,0.106,-0.734,6.531,-72.937,-18.799
0.703,0.101,-0.698,5.737,-72.449,-21.118
0.743,0.074,-0.663,7.019,-70.984,-22.522
0.786,0.048,-0.639,9.155,-69.031,-22.034
0.805,0.051,-0.623,11.047,-66.223,-19.592
0.790,0.050,-0.621,12.268,-62.439,-17.151
0.784,0.068,-0.643,11.841,-57.373,-16.052

0.475,0.551,1.638,-137.939,387.268,49.011
0.586,0.198,1.417,-50.171,534.851,19.104
0.615,-0.240,0.620,0.854,623.535,-3.296
0.721,-0.033,-0.070,-1.587,698.181,-9.521
0.726,-0.194,-0.305,-39.856,722.839,-1.404
0.578,-0.234,-1.089,-36.743,701.965,-1.648
0.470,-0.030,-1.519,-49.255,636.230,7.446
0.288,0.161,-1.875,-57.678,535.583,0.366
0.163,0.261,-2.067,-45.959,414.429,-22.827
0.016,0.226,-2.081,-9.460,283.447,-57.251
-0.139,-0.005,-1.940,52.856,162.109,-92.468
-0.210,-0.288,-1.680,101.929,65.247,-102.905
-0.266,-0.299,-1.410,115.540,6.042,-76.111
-0.275,-0.227,-1.190,108.582,-15.686,-38.330
-0.200,-0.143,-1.036,92.224,-8.667,-6.104
-0.066,-0.024,-0.984,67.139,13.367,18.738
0.062,0.065,-1.026,43.945,33.997,34.363
0.208,0.128,-1.095,32.410,36.560,40.833
0.340,0.207,-1.121,33.691,22.156,40.161
0.414,0.252,-1.090,37.109,0.244,33.325
0.448,0.287,-1.059,35.339,-17.273,22.522
0.491,0.298,-1.071,29.236,-28.931,12.512
0.508,0.306,-1.062,23.193,-37.964,5.127
0.505,0.306,-1.050,16.113,-46.143,-2.136
0.496,0.267,-1.031,9.033,-51.697,-9.766
0.473,0.203,-0.977,5.005,-57.068,-15.869
0.439,0.191,-0.875,3.662,-63.660,-19.470
0.425,0.124,-0.791,3.601,-64.270,-24.536
0.435,0.088,-0.753,3.418,-56.824,-26.917
0.461,0.040,-0.764,3.906,-47.791,-25.757
0.493,0.040,-0.797,4.272,-39.734,-22.217
0.543,-0.010,-0.832,5.432,-33.508,-17.029
0.571,0.013,-0.830,3.967,-29.663,-9.399
0.578,0.055,-0.820,-0.488,-26.367,-3.235
0.598,0.058,-0.846,-3.235,-20.569,-1.099
0.607,0.068,-0.871,-5.066,-15.381,1.526
0.596,0.081,-0.891,-7.568,-13.550,3.174
0.586,0.075,-0.907,-8.850,-13.550,3.723
0.575,0.087,-0.889,-8.850,-15.076,4.395
0.576,0.095,-0.882,-7.629,-17.517,4.395
0.579,0.088,-0.884,-5.859,-19.592,3.662
0.585,0.086,-0.882,-3.967,-22.949,3.479
0.588,0.098,-0.865,-1.709,-27.405,2.441
0.583,0.087,-0.846,1.709,-31.860,0.977
0.579,0.083,-0.841,3.662,-34.912,-0.610
0.577,0.069,-0.858,5.249,-36.926,-1.648
0.516,-0.063,-0.941,5.066,-39.246,-1.953
0.500,-0.030,-0.936,-6.287,-39.063,-1.099
0.540,0.142,-0.912,-16.663,-41.687,3.784
0.571,0.147,-0.907,-11.353,-49.377,3.113
0.576,0.166,-0.898,-3.296,-57.007,1.160
0.581,0.103,-0.944,1.953,-64.758,-0.427
0.609,0.089,-1.011,0.610,-71.838,-0.427
0.642,0.103,-1.090,-3.540,-82.886,3.235
0.641,0.164,-1.178,-7.935,-100.830,6.714
0.673,0.263,-1.215,-11.963,-122.681,7.446
0.664,0.314,-1.251,-11.597,-151.794,3.662
0.759,0.457,-1.164,-6.348,-188.110,-9.155
0.685,0.277,-1.149,4.700,-226.135,-37.048
0.565,0.194,-1.047,18.494,-274.597,-53.467

2.414,-0.024,0.986,-102.722,-6.287,15.869
2.755,0.158,1.562,-115.112,14.221,25.146
2.960,0.159,1.901,-108.582,71.716,22.156
2.940,0.072,2.161,-107.666,132.874,0.671
2.868,0.053,2.264,-106.323,197.388,-16.541
2.601,0.040,2.316,-106.201,256.836,-28.503
2.175,0.079,2.343,-114.746,322.144,-38.269
1.585,0.046,2.285,-121.765,395.813,-53.101
0.880,-0.119,2.079,-113.342,466.797,-74.951
0.187,-0.317,1.690,-89.417,522.583,-90.637
-0.517,-0.492,1.257,-58.228,551.331,-85.205
-1.110,-0.492,0.859,-34.241,561.401,-53.833
-1.607,-0.445,0.385,-25.391,567.688,-18.616
-2.012,-0.356,-0.190,-30.701,577.698,11.719
-2.265,-0.344,-0.781,-55.176,592.346,33.020
-2.615,-0.205,-1.277,-76.599,586.182,60.425
-2.967,0.019,-1.544,-78.430,536.316,80.994
-3.282,0.158,-1.849,-66.956,481.995,80.444
-3.470,0.200,-2.392,-50.110,430.481,68.787
-3.593,0.043,-3.993,-29.541,355.652,57.129
-2.766,0.338,-3.295,9.644,174.011,55.664
-2.010,0.073,-3.155,36.133,41.016,48.584
-1.334,0.115,-2.528,-6.104,-51.208,53.101
-0.702,0.231,-1.781,-23.193,-147.949,62.866
-0.215,0.243,-1.121,-23.437,-213.318,47.607
0.112,0.066,-0.596,-13.306,-248.779,14.160
0.289,-0.186,-0.193,5.005,-267.456,-18.372
0.397,-0.361,0.063,26.245,-266.968,-41.321
0.447,-0.467,0.129,40.283,-245.300,-56.824
0.439,-0.514,0.051,44.617,-210.144,-64.819
0.408,-0.512,-0.104,43.213,-173.645,-65.613
0.378,-0.468,-0.328,38.269,-142.334,-62.134
0.320,-0.388,-0.522,31.189,-120.117,-58.350
0.239,-0.328,-0.670,20.752,-101.501,-53.101
0.155,-0.313,-0.862,10.071,-90.271,-47.913
0.131,-0.237,-0.976,-3.540,-87.463,-33.203
0.144,-0.236,-0.969,-9.277,-95.947,-16.174
0.079,-0.234,-0.937,4.700,-118.042,-5.493
0.099,-0.106,-0.920,4.333,-129.578,11.169
0.188,0.049,-0.891,-3.296,-132.751,24.048
0.252,0.152,-0.872,-7.385,-137.085,26.428
0.330,0.190,-0.858,-7.324,-145.142,19.958
0.396,0.197,-0.845,-5.066,-156.799,9.644
0.440,0.205,-0.804,0.305,-172.119,-0.549
0.458,0.158,-0.744,7.874,-187.012,-10.498
0.484,0.100,-0.682,12.817,-195.557,-18.982
0.522,0.054,-0.630,11.292,-195.068,-23.437
0.573,0.024,-0.609,5.615,-189.148,-24.414
0.624,0.026,-0.598,-2.014,-182.739,-23.499
0.672,0.050,-0.575,-8.606,-180.298,-20.996
0.763,0.071,-0.548,-12.329,-183.777,-18.188
0.830,0.120,-0.484,-14.160,-191.528,-19.226
0.909,0.191,-0.380,-14.282,-198.608,-24.353
0.929,0.187,-0.292,-12.512,-201.050,-35.828
0.918,0.139,-0.199,-11.475,-197.266,-50.049
0.909,0.050,-0.164,-9.155,-188.965,-62.012
0.931,-0.079,-0.141,-5.798,-179.993,-70.679
0.944,-0.219,-0.095,-3.601,-172.668,-74.402
0.928,-0.351,-0.100,1.404,-169.250,-71.594
0.905,-0.449,-0.112,8.423,-169.861,-62.073

1.582,-0.294,1.035,-26.611,49.316,31.860
1.738,-0.271,1.315,-19.043,64.941,28.137
1.823,-0.291,1.633,-12.756,84.656,21.118
1.894,-0.330,1.871,-7.996,114.075,13.611
1.961,-0.405,1.999,-5.371,151.489,6.104
1.923,-0.502,2.083,-2.014,192.444,-2.197
1.881,-0.551,2.231,5.493,230.347,-7.996
1.772,-0.640,2.350,22.217,265.015,-9.888
1.531,-0.633,2.339,38.879,304.810,-5.920
1.155,-0.576,2.220,51.514,348.999,2.380
0.715,-0.549,1.930,63.416,393.677,15.564
0.291,-0.494,1.538,70.862,433.777,36.438
-0.123,-0.328,1.178,66.467,468.689,62.439
-0.523,-0.132,0.796,47.852,504.822,83.130
-0.864,0.037,0.394,20.752,541.687,97.107
