X,aY,aZ,gX,gY,gZ
0.470,0.089,1.050,14.526,195.068,49.805
0.544,0.097,0.979,12.329,208.679,52.551
0.606,0.063,0.889,7.812,219.299,47.729
0.715,-0.002,0.830,-3.601,227.844,33.020
0.710,-0.039,0.841,-21.667,234.070,6.958
0.659,-0.106,0.815,-29.846,232.361,-16.174
0.608,-0.112,0.798,-30.579,227.234,-26.733
0.584,-0.058,0.781,-28.320,222.961,-27.100
0.589,0.016,0.733,-19.348,219.360,-21.423
0.598,0.095,0.681,-8.240,215.820,-16.174
0.643,0.092,0.615,5.493,213.196,-13.977
0.678,0.030,0.501,20.508,212.708,-14.893
0.691,-0.023,0.404,26.550,216.187,-17.334
0.710,-0.035,0.379,22.888,218.689,-20.935
0.696,-0.045,0.343,18.250,218.323,-23.193
0.664,-0.092,0.243,19.775,217.346,-22.888
0.646,-0.158,0.084,20.386,217.834,-19.592

-0.506,0.220,-1.607,-36.133,-527.100,-65.674
-0.690,-0.142,-1.163,38.879,-669.861,-57.251
-0.834,-0.550,-0.351,102.112,-790.161,-62.927
-1.073,-0.873,0.503,137.146,-841.797,-63.354
-1.372,-0.933,1.245,137.146,-822.815,-38.025
-1.503,-0.770,1.861,125.366,-761.963,0.061
-1.385,-0.524,2.309,119.629,-679.626,43.640
-1.153,-0.267,2.582,113.342,-582.886,75.073
-1.020,-0.078,2.653,100.098,-476.685,75.806
-0.905,-0.117,2.537,84.473,-373.474,57.007
-0.828,-0.154,2.377,55.359,-282.959,28.564
-0.875,-0.246,2.362,22.278,-227.051,3.113
-1.270,0.733,4.000,-54.138,-156.067,-13.855
-1.445,0.955,4.000,-231.140,192.200,-16.602
0.191,-0.415,0.212,103.638,334.717,34.973
0.505,-0.600,0.448,63.110,210.083,22.034
0.138,-0.398,1.596,-66.101,102.844,-27.832
0.061,-0.363,1.593,-51.819,48.035,-38.391
0.085,-0.411,0.994,5.432,-16.174,-22.461
0.012,-0.272,1.318,24.292,-85.876,1.831
0.002,-0.105,1.689,6.165,-81.604,7.629
-0.002,-0.027,1.769,4.150,-33.203,0.427
-0.042,0.019,1.544,10.132,20.203,-5.737
0.056,-0.006,1.143,16.663,66.711,-9.521
0.214,-0.101,0.802,15.747,94.299,-14.099
0.188,-0.202,0.688,5.554,91.125,-21.790
0.125,-0.245,0.753,-9.644,77.332,-25.696
0.094,-0.255,0.855,-20.386,66.711,-22.217
0.076,-0.194,0.940,-23.560,57.556,-11.780
0.088,-0.109,0.995,-21.118,53.772,-1.465
0.116,-0.061,1.039,-14.648,51.208,4.333
0.104,-0.015,1.104,-6.958,46.814,7.202
0.073,0.032,1.168,0.427,44.312,8.362
0.067,0.044,1.096,10.376,49.316,5.737
0.096,-0.062,0.915,19.775,61.523,-1.099
0.133,-0.181,0.792,17.395,73.792,-6.958
0.146,-0.238,0.786,7.385,74.463,-8.423
0.133,-0.283,0.848,-0.854,65.491,-5.493
0.114,-0.311,0.928,-5.493,55.664,-0.122
0.094,-0.284,1.024,-10.559,50.781,8.301
0.089,-0.237,1.126,-13.489,51.270,17.517
0.100,-0.172,1.208,-13.123,56.458,24.963
0.122,-0.106,1.223,-10.681,67.688,29.297
0.163,-0.067,1.157,-6.165,84.839,28.870
0.215,-0.067,1.063,-2.808,105.286,21.362
0.260,-0.084,0.991,-1.465,120.605,9.888
0.270,-0.113,0.889,0.183,128.357,0.000
0.287,-0.162,0.729,2.319,133.545,-3.662
0.339,-0.201,0.606,-0.610,139.282,-3.540
0.389,-0.218,0.577,-9.766,139.404,-3.601
0.436,-0.184,0.632,-18.066,130.127,-3.418
0.455,-0.110,0.722,-21.240,114.502,-1.831
0.459,-0.068,0.772,-13.733,97.046,0.732
0.462,-0.050,0.824,-7.935,85.754,0.000
0.469,-0.045,0.876,-7.324,82.886,-3.601
0.470,-0.043,0.902,-9.033,86.914,-8.301
0.464,-0.068,0.896,-11.353,95.642,-14.648
0.468,-0.121,0.902,-13.428,102.478,-22.095
0.477,-0.165,0.915,-15.259,105.164,-26.428
0.471,-0.202,0.899,-14.160,105.957,-25.574

-1.399,-0.333,2.989,52.856,-809.265,59.387
-1.570,0.038,3.739,54.077,-747.192,83.130
-1.599,0.285,4.000,22.278,-600.769,70.374
-1.365,0.266,4.000,-6.470,-392.700,39.429
-0.984,0.157,3.731,-15.625,-169.678,14.099
-0.622,-0.086,2.931,-11.414,7.751,-4.272
-0.386,-0.372,2.155,-2.136,106.323,-14.526
-0.225,-0.552,1.610,1.587,136.963,-10.254
-0.074,-0.555,1.343,-1.099,126.465,8.606
0.071,-0.396,1.245,-4.150,96.619,35.339
0.181,-0.201,1.234,-3.723,62.805,55.847
0.262,-0.034,1.267,-3.052,40.100,62.927
0.299,0.045,1.272,-0.427,32.104,59.509
0.327,0.163,1.158,2.930,38.330,49.194
0.397,0.200,0.930,0.977,57.739,30.884
0.449,0.163,0.757,-5.005,74.036,8.667
0.425,0.095,0.721,-15.381,75.378,-15.442
0.360,0.034,0.735,-20.569,67.017,-31.799
0.309,-0.017,0.739,-20.630,59.937,-39.246
0.261,-0.030,0.757,-23.071,58.289,-43.762
0.225,-0.022,0.782,-25.879,58.777,-45.898
0.185,-0.007,0.798,-25.696,56.030,-44.922
0.166,-0.000,0.815,-21.667,47.302,-40.710
0.162,0.008,0.847,-16.113,34.851,-33.447
0.155,0.007,0.885,-10.193,22.095,-26.062
0.147,-0.015,0.912,-3.540,11.841,-20.142
0.144,-0.056,0.927,1.343,6.897,-14.709
0.145,-0.064,0.966,1.221,7.568,-9.338
0.144,-0.046,1.015,-1.221,11.047,-5.981
0.148,-0.057,1.046,0.305,14.526,-5.127
0.145,-0.076,1.060,2.747,18.005,-4.333
0.143,-0.084,1.073,3.784,21.667,-2.441
0.151,-0.087,1.097,3.845,25.146,0.366
0.161,-0.079,1.145,3.601,28.015,3.784
0.161,-0.074,1.197,5.310,30.945,8.240
0.170,-0.074,1.257,10.193,35.278,15.869
0.175,-0.054,1.311,15.869,42.480,25.452
0.174,-0.052,1.318,22.522,53.589,34.180
0.168,-0.071,1.272,27.649,70.068,39.001
0.187,-0.102,1.215,28.015,89.905,39.551
0.221,-0.136,1.149,23.926,109.985,37.720
0.257,-0.155,1.092,17.151,127.747,35.645
0.296,-0.146,1.070,7.812,140.747,33.691
0.331,-0.119,1.078,-0.977,149.170,30.396
0.354,-0.115,1.086,-6.531,154.541,24.963
0.360,-0.136,1.089,-9.888,159.607,17.700
0.356,-0.131,1.082,-14.038,165.527,10.803
0.351,-0.102,1.049,-15.320,173.157,7.935
0.378,-0.061,1.001,-15.198,181.885,7.996
0.420,-0.031,0.934,-14.343,191.284,9.521
0.482,-0.009,0.854,-12.695,198.547,10.315
0.540,-0.001,0.801,-12.939,203.064,9.155
0.575,-0.024,0.703,-10.864,203.796,5.432
0.581,-0.087,0.658,-12.817,203.308,1.038
0.589,-0.158,0.685,-21.118,199.097,-5.676
0.593,-0.169,0.735,-27.954,191.223,-8.057
0.574,-0.146,0.721,-23.376,183.899,-3.296
0.577,-0.125,0.661,-12.695,178.589,5.920
0.597,-0.073,0.603,-7.080,174.011,15.747
0.638,-0.001,0.560,-5.249,168.640,24.048

-0.304,0.558,2.594,87.830,-754.272,-28.442
-1.053,-0.140,2.655,178.467,-831.055,-58.044
-1.539,-0.425,3.090,108.643,-744.446,-92.468
-1.584,-0.598,3.438,46.143,-583.618,-80.261
-1.483,-0.771,3.341,33.020,-391.663,-44.312
-1.168,-0.684,3.045,12.268,-183.899,-0.244
-0.784,-0.518,2.564,-3.113,-1.648,42.419
-0.471,-0.362,2.029,-4.150,121.704,73.120
-0.177,-0.227,1.539,-2.319,190.735,91.309
0.046,-0.132,1.127,2.258,217.346,98.755
0.225,-0.055,0.889,-4.272,218.994,88.623
0.364,0.008,0.804,-16.357,203.674,68.848
0.452,0.061,0.775,-19.775,171.082,51.758
0.498,0.103,0.758,-11.536,124.390,39.978
0.489,0.126,0.727,0.244,74.280,28.687
0.412,0.118,0.730,8.911,29.846,16.785
0.386,0.112,0.810,8.728,3.235,4.395
0.368,0.092,0.893,6.470,-8.179,-7.446
0.294,0.039,0.955,10.193,-15.991,-14.587
0.224,-0.012,1.010,10.986,-14.771,-17.090
0.172,-0.052,1.057,7.019,-3.418,-16.113
0.145,-0.073,1.093,1.709,13.611,-13.428
0.144,-0.076,1.111,-1.709,29.358,-8.484
0.161,-0.081,1.106,-2.014,39.856,-2.808
0.185,-0.084,1.091,-1.221,45.227,1.526
0.203,-0.071,1.079,-2.197,48.218,4.395
0.206,-0.062,1.072,-3.357,49.927,5.371
0.203,-0.072,1.071,-3.662,50.598,4.944
0.200,-0.083,1.062,-2.869,51.636,5.859
0.203,-0.097,1.036,-1.099,53.467,8.667
0.214,-0.109,1.011,0.000,56.274,11.658
0.220,-0.104,0.984,-0.427,60.303,15.076
0.232,-0.084,0.965,-2.136,65.491,18.494
0.261,-0.052,0.966,-4.639,70.068,20.569
0.288,-0.027,0.959,-4.944,73.853,19.348
0.329,-0.015,0.969,-4.944,76.111,14.526
0.353,-0.000,1.000,-5.432,76.538,8.118
0.348,-0.004,1.017,-2.686,75.867,1.160
0.338,-0.029,1.021,3.052,76.599,-4.333
0.333,-0.058,1.026,6.897,78.003,-7.507
0.338,-0.075,1.035,8.423,79.468,-8.606
0.349,-0.099,1.026,9.094,82.214,-8.911
0.359,-0.122,1.001,8.362,87.769,-10.071
0.366,-0.136,0.965,5.676,95.642,-11.169
0.380,-0.141,0.934,1.892,103.882,-11.108
0.402,-0.136,0.927,-3.296,110.229,-10.193
0.417,-0.130,0.933,-8.240,114.136,-8.789
0.428,-0.118,0.948,-12.817,115.662,-7.080
0.440,-0.104,0.953,-15.625,116.394,-5.188
0.456,-0.085,0.958,-16.907,117.920,-2.808
0.478,-0.051,0.972,-18.372,119.263,-1.038
0.496,-0.020,0.949,-17.273,120.422,0.122
0.511,-0.033,0.870,-12.573,123.840,0.732
0.532,-0.076,0.771,-9.766,128.601,0.916
0.550,-0.121,0.693,-11.475,132.080,0.671
0.549,-0.160,0.695,-17.151,130.432,0.061
0.567,-0.141,0.774,-23.499,121.155,0.427
0.575,-0.088,0.827,-22.827,109.680,5.920
0.558,-0.055,0.853,-21.484,107.056,11.902
0.575,-0.026,0.889,-26.550,110.474,14.893

0.301,-0.113,-2.533,-139.587,-26.001,-97.778
0.024,-0.071,-2.633,-138.489,-148.071,-58.960
-0.130,-0.044,-2.298,-75.439,-344.055,-9.888
-0.472,-0.192,-1.623,-5.127,-536.194,0.000
-1.033,-0.397,-0.646,37.659,-692.627,-13.000
-1.465,-0.163,0.957,58.411,-823.486,-19.836
-1.898,-0.007,2.427,93.567,-909.790,-9.949
-2.165,0.029,3.680,120.667,-917.236,5.066
-2.488,0.304,4.000,90.637,-835.815,22.278
-2.340,0.271,4.000,57.678,-668.945,31.616
-1.869,0.059,4.000,34.668,-421.204,27.832
-1.355,-0.178,4.000,16.174,-144.043,14.954
-0.939,-0.363,3.110,6.409,87.219,4.578
-0.632,-0.416,2.194,1.709,233.704,9.521
-0.321,-0.378,1.492,0.610,299.011,33.325
-0.051,-0.245,1.027,1.465,305.908,65.613
0.192,-0.048,0.772,-2.197,282.166,94.666
0.426,0.177,0.617,-4.822,243.652,115.234
0.656,0.373,0.508,-3.235,197.693,116.699
0.778,0.476,0.466,-2.808,151.489,91.553
0.786,0.498,0.478,-4.333,109.802,53.223
0.734,0.440,0.501,-1.404,69.885,15.686
0.606,0.287,0.531,6.165,33.997,-13.000
0.531,0.168,0.592,10.376,11.108,-30.151
0.460,0.048,0.666,14.465,-5.371,-38.696
0.381,-0.024,0.770,15.442,-13.672,-39.124
0.330,-0.045,0.845,13.123,-8.423,-35.400
0.292,-0.047,0.875,13.489,2.686,-28.992
0.275,-0.011,0.882,12.390,13.794,-22.644
0.279,0.029,0.892,10.498,19.104,-18.372
0.283,0.048,0.909,9.460,16.479,-16.602
0.283,0.041,0.951,5.981,8.545,-16.724
0.264,0.011,1.008,1.465,0.000,-19.470
0.234,-0.030,1.071,-1.587,-5.493,-21.851
0.195,-0.063,1.121,-2.869,-6.775,-21.851
0.179,-0.099,1.145,-2.258,-3.296,-18.555
0.178,-0.129,1.146,-0.061,4.028,-13.184
0.168,-0.156,1.145,2.136,13.000,-6.592
0.152,-0.167,1.167,3.418,21.484,1.282
0.159,-0.148,1.209,3.479,28.931,12.390
0.170,-0.108,1.223,4.395,38.208,24.414
0.194,-0.065,1.202,6.775,50.720,32.776
0.234,-0.045,1.156,8.850,65.369,35.278
0.280,-0.046,1.122,7.507,79.102,32.166
0.313,-0.052,1.111,2.380,90.210,25.452
0.330,-0.043,1.120,-4.211,98.267,18.066
0.327,-0.010,1.121,-9.277,104.614,11.902
0.329,0.019,1.101,-10.254,110.718,7.385
0.351,0.042,1.054,-7.812,119.019,4.211
0.376,0.063,0.994,-5.371,127.136,1.343
0.401,0.057,0.935,-3.479,135.498,-2.075
0.427,0.013,0.899,-1.892,142.090,-6.409
0.457,-0.035,0.891,-1.038,144.104,-10.864
0.481,-0.070,0.897,-1.282,143.066,-12.817
0.493,-0.077,0.911,-1.648,140.869,-12.695
0.490,-0.070,0.912,-1.282,138.489,-11.780
0.500,-0.059,0.912,-0.061,138.367,-10.925
0.507,-0.026,0.904,-0.610,139.282,-9.644
0.512,0.020,0.897,-2.747,140.747,-8.972
0.507,0.032,0.835,-1.343,145.081,-9.888

0.164,0.042,-2.663,-135.986,-66.772,-85.876
-0.046,0.153,-2.434,-192.810,-181.702,-96.924
-0.353,-0.226,-2.450,-100.342,-398.132,-72.083
-0.834,-0.369,-1.984,11.292,-632.751,-29.907
-1.572,-0.619,-1.175,61.951,-840.515,-12.817
-2.313,-0.539,0.206,53.284,-1005.554,3.418
-2.847,-0.045,1.844,11.292,-1126.404,54.199
-3.300,0.438,3.532,-5.554,-1192.200,118.591
-3.730,0.598,4.000,4.639,-1144.409,152.222
-3.359,0.428,4.000,-0.549,-912.659,149.963
-2.523,0.502,4.000,-17.029,-547.485,148.437
-1.715,0.555,4.000,7.690,-172.974,132.324
-1.067,0.524,3.472,48.035,117.126,85.205
-0.865,0.279,2.262,72.876,292.786,22.461
-0.607,0.016,1.382,72.388,378.357,-17.334
-0.283,-0.103,0.752,65.063,383.972,-19.653
0.103,-0.107,0.366,48.401,335.693,-8.301
0.381,-0.076,0.174,32.288,255.188,1.526
0.482,-0.037,0.176,16.052,162.842,2.991
0.458,-0.001,0.339,1.465,77.881,-1.404
0.345,0.012,0.597,-5.188,13.062,-5.188
0.271,0.040,0.854,-4.639,-21.423,-6.042
0.239,0.055,1.000,1.770,-31.799,-5.859
0.183,0.041,1.059,14.038,-29.968,-5.249
0.133,0.038,1.087,21.667,-16.235,-5.310
0.113,0.045,1.077,27.039,2.808,-4.883
0.100,0.046,1.011,32.959,20.752,-3.418
0.100,0.034,0.941,35.645,32.227,-2.686
0.100,0.023,0.902,31.555,35.828,-3.662
0.084,-0.017,0.905,22.644,33.203,-6.226
0.071,-0.047,0.971,7.935,27.527,-10.254
0.036,-0.075,1.060,-6.958,20.691,-14.832
-0.008,-0.098,1.157,-18.311,15.991,-17.578
-0.043,-0.113,1.237,-23.254,15.137,-15.930
-0.059,-0.119,1.293,-20.813,19.226,-10.193
-0.064,-0.121,1.319,-14.343,28.076,-3.113
-0.048,-0.097,1.337,-7.568,41.260,3.235
-0.026,-0.058,1.337,-1.831,57.251,8.057
-0.014,-0.034,1.310,4.089,73.486,9.766
0.007,-0.029,1.261,8.118,88.440,8.972
0.042,-0.071,1.198,9.888,103.760,6.714
0.064,-0.104,1.159,4.639,116.455,2.441
0.079,-0.110,1.156,-6.226,124.329,-0.977
0.084,-0.066,1.170,-15.442,130.798,-1.953
0.093,-0.005,1.161,-17.395,139.648,-1.282
0.143,0.043,1.127,-11.292,150.391,-0.427
0.200,0.095,1.082,-3.540,160.828,-0.549
0.261,0.111,1.019,3.906,168.579,-3.052
0.302,0.090,0.956,9.338,173.340,-9.460
0.340,0.037,0.911,9.949,174.683,-18.372
0.365,-0.016,0.899,5.310,172.241,-26.489
0.356,-0.045,0.913,-1.831,167.358,-32.837
0.339,-0.036,0.945,-8.118,161.804,-34.424
0.331,-0.034,0.965,-9.094,156.677,-33.386
0.326,-0.063,0.974,-6.897,156.189,-33.813
0.340,-0.081,0.992,-5.676,159.180,-34.058
0.340,-0.061,0.971,-2.075,165.466,-30.334
0.367,-0.081,0.884,5.127,177.429,-25.391
0.410,-0.096,0.764,9.827,195.679,-22.949
0.436,-0.134,0.632,11.902,212.585,-22.095

0.490,0.198,-1.885,-77.881,-152.100,33.203
0.207,0.173,-1.513,-69.275,-293.518,24.292
-0.157,0.302,-0.739,-64.209,-441.467,8.179
-0.565,0.587,0.172,-24.597,-599.243,3.235
-0.910,0.438,0.734,46.631,-768.616,17.578
-0.868,0.818,1.567,76.660,-907.043,27.405
-1.863,0.850,2.272,79.773,-1005.005,5.798
-2.433,0.572,3.347,32.349,-996.094,-49.561
-2.476,-0.029,4.000,-9.094,-889.343,-88.806
-2.357,-0.381,4.000,-25.513,-693.787,-88.623
-2.179,-0.526,4.000,-11.597,-424.377,-46.082
-1.844,-0.426,4.000,15.381,-133.362,16.418
-1.240,-0.284,3.206,59.265,105.774,76.599
-0.753,-0.034,2.231,97.717,271.851,110.474
-0.515,0.018,1.506,104.004,375.793,99.487
-0.282,0.004,0.988,84.717,434.143,79.651
-0.032,-0.013,0.592,69.763,446.350,71.045
0.224,-0.003,0.311,55.725,420.654,68.176
0.450,0.044,0.125,44.861,369.202,66.895
0.573,0.075,-0.023,40.649,296.875,66.223
0.682,0.125,-0.047,32.532,217.285,59.326
0.730,0.154,0.013,23.926,139.465,45.044
0.732,0.177,0.146,17.212,67.322,26.672
0.659,0.173,0.341,11.536,6.348,6.958
0.526,0.120,0.560,7.568,-37.964,-10.620
0.391,0.053,0.780,5.005,-63.904,-22.949
0.278,0.016,0.962,3.845,-72.388,-26.733
0.209,-0.002,1.106,2.930,-65.979,-23.437
0.178,-0.023,1.211,3.662,-51.086,-17.151
0.155,-0.069,1.261,6.592,-32.715,-11.597
0.140,-0.124,1.280,7.324,-12.939,-7.996
0.135,-0.155,1.283,3.052,6.470,-4.395
0.145,-0.177,1.260,-0.977,23.804,0.366
0.156,-0.188,1.227,-3.479,35.889,6.836
0.170,-0.187,1.210,-6.348,42.603,12.756
0.190,-0.169,1.204,-9.033,46.936,16.968
0.202,-0.130,1.207,-12.146,52.368,19.043
0.220,-0.097,1.205,-12.085,58.228,20.142
0.240,-0.078,1.196,-10.742,64.575,19.348
0.265,-0.029,1.205,-11.169,70.618,18.250
0.276,0.032,1.220,-12.451,75.073,16.541
0.293,0.105,1.286,-15.930,79.407,9.888
0.313,0.136,1.355,-16.846,84.717,0.000
0.300,0.084,1.361,-12.146,95.093,-13.062
0.250,-0.005,1.312,-9.277,114.685,-28.992
0.218,-0.084,1.250,-11.414,137.878,-39.734
0.212,-0.140,1.185,-13.367,159.302,-43.213
0.211,-0.157,1.114,-14.709,180.054,-42.542
0.230,-0.134,1.029,-13.428,200.073,-37.598
0.261,-0.079,0.951,-11.841,215.942,-29.846
0.314,-0.030,0.884,-10.437,226.257,-25.879
0.364,-0.000,0.796,-8.179,233.887,-24.353
0.422,-0.031,0.680,-4.333,243.347,-25.146
0.466,-0.097,0.544,-2.991,253.845,-28.625
0.483,-0.170,0.425,-5.920,262.451,-33.020
0.511,-0.229,0.328,-10.864,263.611,-34.180
0.530,-0.244,0.238,-11.658,254.822,-25.635
0.585,-0.218,0.166,-8.362,239.441,-11.902
0.637,-0.192,0.095,-2.869,221.619,-0.854
0.680,-0.145,0.033,1.160,204.224,7.019

0.523,-0.218,-2.355,-90.576,-122.498,49.622
0.441,-0.088,-2.708,-116.272,-230.835,72.021
0.194,-0.082,-2.815,-123.840,-370.850,78.735
-0.314,-0.078,-2.530,-111.450,-531.433,76.111
-0.949,-0.081,-1.760,-82.336,-692.932,80.383
-1.528,-0.116,-0.392,-44.495,-818.237,88.196
-2.125,-0.201,1.046,14.954,-874.939,99.365
-2.346,-0.039,2.473,81.177,-863.586,125.305
-2.200,0.235,3.739,121.582,-784.973,150.879
-1.859,0.443,4.000,117.371,-622.009,146.179
-1.369,0.624,4.000,76.355,-389.771,105.347
-0.987,0.608,3.494,21.057,-165.344,42.908
-0.711,0.378,2.650,-18.005,-28.564,-8.118
-0.407,0.225,2.084,-36.194,22.400,-29.175
-0.245,0.101,1.823,-31.128,15.747,-31.006
-0.245,-0.008,1.856,-17.334,-8.789,-26.306
-0.226,0.006,1.941,1.221,-18.921,-14.038
-0.129,0.065,1.887,20.081,-8.728,-0.977
-0.058,0.123,1.767,28.564,11.047,4.578
0.019,0.161,1.594,29.114,32.532,3.479
0.094,0.181,1.423,27.466,49.194,0.183
0.159,0.189,1.281,23.987,61.951,-3.479
0.200,0.177,1.196,20.020,70.740,-9.827
0.209,0.180,1.114,18.005,77.271,-15.137
0.223,0.164,0.967,20.752,84.900,-17.578
0.290,0.135,0.818,22.766,92.773,-19.836
0.291,0.104,0.759,25.085,86.365,-21.729
0.253,0.046,0.807,27.527,68.542,-21.851
0.200,-0.006,0.897,29.724,50.598,-18.677
0.153,-0.020,0.990,30.334,39.124,-12.634
0.124,-0.007,1.069,27.954,35.034,-6.104
0.110,0.025,1.144,23.193,35.828,-1.526
0.113,0.056,1.226,18.005,41.321,0.488
0.091,0.043,1.232,18.127,50.293,-0.977
0.099,0.071,1.225,19.165,62.256,-1.221
0.143,0.078,1.160,20.874,76.416,-0.122
0.160,0.061,1.095,18.494,92.529,-3.784
0.183,0.009,1.041,14.282,105.652,-10.254
0.196,-0.029,1.007,10.742,114.197,-14.648
0.199,-0.071,0.970,9.644,117.859,-15.991
0.212,-0.096,0.936,7.690,120.300,-15.015
0.238,-0.098,0.909,4.822,122.375,-12.695
0.262,-0.055,0.910,2.197,123.535,-10.315
0.310,-0.013,0.926,3.357,122.681,-9.033
0.325,0.014,0.899,10.132,120.178,-9.766
0.352,0.034,0.886,12.939,119.080,-11.719
0.379,0.005,0.876,10.498,120.239,-15.869
0.389,-0.016,0.878,3.906,122.253,-21.423
0.385,-0.036,0.858,-1.465,125.977,-25.696
0.392,-0.084,0.814,-2.563,130.859,-29.419
0.420,-0.092,0.788,-3.479,135.254,-30.884
0.448,-0.038,0.769,-5.066,136.475,-30.090
0.484,-0.009,0.741,-6.226,136.780,-30.212
0.516,0.010,0.745,-8.850,136.536,-34.668
0.536,-0.002,0.736,-7.751,134.949,-40.588
0.551,-0.029,0.732,-4.517,132.507,-45.837
0.571,-0.062,0.724,-2.319,129.456,-49.561
0.583,-0.065,0.723,-2.747,126.648,-50.293
0.579,-0.013,0.721,-4.456,125.610,-48.462
0.605,0.010,0.706,-0.122,125.977,-47.119

1.217,0.405,0.522,66.040,19.104,3.479
1.055,0.095,0.239,70.679,40.771,-30.334
0.961,0.080,0.198,55.420,43.823,-40.771
0.905,0.111,0.269,41.870,31.799,-40.894
0.871,0.091,0.296,38.879,19.653,-39.795
0.889,0.090,0.417,29.114,16.785,-34.180
0.899,0.104,0.408,21.851,20.264,-27.405
0.882,0.041,0.334,19.714,22.400,-20.691
0.858,0.016,0.280,18.616,17.395,-15.869
0.889,0.099,0.273,13.855,10.315,-13.855
0.930,0.151,0.349,10.620,7.568,-15.015
1.002,0.163,0.346,21.545,7.141,-20.020
1.078,0.130,0.275,36.560,9.949,-16.541
1.002,0.074,0.203,38.086,15.259,-20.325
0.910,0.001,0.173,26.794,17.761,-35.339
0.853,0.076,0.276,5.493,14.465,-36.194
0.884,0.085,0.314,-4.150,14.526,-32.837
0.956,0.085,0.319,-3.052,16.602,-29.724
0.901,0.053,0.356,3.662,14.832,-30.640
0.918,0.045,0.368,7.019,10.254,-37.109
1.002,0.045,0.353,17.029,10.620,-36.865
1.015,-0.098,0.395,29.175,11.658,-28.931
0.764,-0.229,0.369,54.260,9.094,-31.799
0.576,-0.382,-0.008,112.366,-1.709,-33.386
0.744,-0.497,-0.263,140.137,-21.912,1.709
1.041,-0.222,-0.145,63.721,-25.269,38.818
1.257,0.107,0.247,-25.513,-14.709,45.715
1.351,0.302,0.463,-44.678,-30.029,42.297
1.390,0.357,0.640,-33.936,-43.091,26.733
1.105,0.127,0.581,-14.587,-32.471,-7.263
0.922,-0.052,0.457,-0.732,-18.311,-25.330
0.910,-0.128,0.409,-3.174,-7.507,-27.832
0.926,-0.091,0.379,-11.658,-0.549,-25.208
0.915,-0.090,0.331,-15.015,4.150,-21.484
0.897,-0.097,0.313,-19.287,7.568,-19.653
0.879,-0.109,0.357,-25.391,10.254,-18.494
0.882,-0.100,0.346,-28.809,16.418,-16.785
0.882,-0.108,0.328,-30.273,22.949,-15.381
0.911,-0.103,0.320,-29.175,23.560,-14.038
0.918,-0.102,0.319,-26.978,22.705,-12.451
0.901,-0.103,0.311,-24.231,22.095,-11.047
0.914,-0.078,0.316,-20.874,20.142,-9.521
0.961,-0.036,0.308,-15.442,17.151,-8.850
0.969,-0.005,0.293,-10.925,14.587,-11.169
0.953,-0.023,0.292,-10.010,12.268,-15.259
0.934,-0.074,0.296,-10.864,11.902,-17.944
0.925,-0.115,0.288,-13.489,13.245,-17.700
0.930,-0.117,0.279,-16.479,14.832,-14.709
0.956,-0.115,0.253,-16.907,14.893,-10.803
0.961,-0.114,0.251,-17.090,12.695,-8.545
0.943,-0.112,0.275,-19.226,10.864,-7.874
0.926,-0.103,0.290,-20.996,11.047,-6.897
0.924,-0.094,0.293,-20.447,11.169,-5.432
0.926,-0.094,0.287,-17.212,10.498,-3.723
0.927,-0.095,0.274,-15.259,10.132,-2.441
0.941,-0.074,0.271,-15.137,10.803,-1.282
0.966,-0.059,0.262,-13.428,10.193,-0.916
0.983,-0.040,0.261,-11.658,9.216,-1.587
0.977,-0.025,0.250,-10.010,8.728,-2.930
0.969,-0.047,0.240,-8.789,7.568,-4.150

-0.499,-0.173,2.486,-29.785,-619.324,41.809
-0.223,-0.118,3.058,-7.080,-565.125,48.096
0.031,-0.104,3.137,24.719,-471.436,49.438
0.131,-0.052,2.917,44.800,-365.601,46.265
0.111,-0.005,2.551,47.546,-281.799,43.640
0.108,-0.015,2.166,32.227,-223.755,42.786
0.065,-0.023,1.924,0.732,-185.791,42.053
0.036,-0.007,1.833,-30.457,-164.978,40.894
0.031,0.001,1.846,-46.387,-155.212,36.194
0.040,-0.019,1.850,-42.603,-149.597,28.748
0.064,-0.028,1.798,-24.963,-142.517,21.851
0.110,-0.017,1.707,-6.775,-131.714,17.212
0.163,0.000,1.631,4.211,-117.737,13.855
0.239,0.028,1.628,7.812,-99.792,11.719
0.306,0.077,1.699,5.737,-76.111,9.583
0.340,0.116,1.679,3.113,-45.349,6.287
0.333,0.124,1.604,2.014,-11.902,0.916
0.256,0.130,1.530,0.305,17.395,-5.493
0.179,0.099,1.411,1.404,39.307,-10.681
0.108,0.082,1.255,4.333,53.345,-14.709
0.060,0.021,1.146,4.944,59.021,-17.517
0.043,0.002,1.111,2.075,57.983,-16.663
0.051,-0.004,1.133,-0.549,55.664,-14.893
0.077,-0.008,1.215,-1.953,56.396,-13.000
0.110,-0.010,1.298,-1.221,61.768,-11.963
0.139,-0.016,1.372,1.221,72.571,-12.268
0.167,-0.013,1.418,4.150,88.379,-14.038
0.186,-0.007,1.430,7.324,108.459,-17.395
0.182,-0.000,1.403,8.789,130.371,-22.278
0.132,0.017,1.366,9.338,150.879,-27.344
0.060,0.001,1.217,11.719,165.466,-30.457
0.007,-0.070,0.978,13.489,169.312,-29.968
0.042,-0.118,0.875,6.409,165.283,-25.146
0.086,-0.165,0.941,-2.991,157.288,-18.494
