X,aY,aZ,gX,gY,gZ
0.678,-0.039,0.138,-28.931,212.463,-25.574
0.605,-0.090,0.085,-25.208,193.359,-30.518

-0.400,-0.109,-2.243,-112.488,-387.390,64.148
-0.686,0.007,-1.655,-89.417,-541.504,93.201
-1.037,0.028,-0.682,-51.697,-663.269,102.783
-1.266,-0.260,0.087,0.305,-716.797,100.586
-1.458,-0.905,0.782,48.828,-718.140,100.342
-1.772,-1.533,1.832,65.186,-702.332,124.329
-1.808,-1.088,2.489,48.584,-645.996,186.523
-1.281,-0.062,2.615,6.104,-527.344,248.169
-0.621,1.148,2.851,-8.362,-428.650,265.686
-0.147,1.807,3.612,17.578,-387.634,231.995
-0.151,1.497,3.853,62.012,-315.796,148.010
-0.342,0.906,3.098,84.534,-191.223,62.378
-0.245,0.461,1.987,74.890,-89.783,16.479
-0.248,0.134,1.506,37.415,-49.377,-10.010
-0.481,-0.073,1.842,-8.545,-52.551,-28.198
-0.435,0.053,2.197,-37.598,-46.387,-24.597
-0.288,0.221,2.214,-39.246,-20.630,-17.212
-0.202,0.234,2.003,-19.714,7.324,-19.531
-0.164,0.150,1.689,3.357,28.992,-24.719
-0.064,0.073,1.407,20.691,41.626,-27.649
0.039,0.127,1.254,25.879,45.532,-26.001
0.112,0.148,1.144,25.391,53.101,-28.015
0.149,0.163,1.103,21.790,61.890,-32.837
0.160,0.143,1.063,17.639,71.106,-37.720
0.147,0.117,1.028,11.658,82.153,-41.931
0.127,0.101,0.992,6.897,92.163,-44.189
0.084,0.030,0.965,6.287,96.130,-45.837
0.048,-0.021,0.991,8.118,93.506,-42.480
0.045,0.016,1.030,11.963,88.989,-33.142
0.074,0.043,1.098,14.648,86.609,-27.649
0.056,0.041,1.174,18.616,86.487,-25.879
0.087,0.073,1.127,25.085,89.539,-25.635
0.087,0.062,1.135,20.996,99.121,-29.114
0.077,0.024,1.147,19.592,105.774,-33.875
0.062,-0.005,1.158,16.296,111.267,-36.865
0.063,-0.023,1.154,12.512,118.958,-37.659
0.071,-0.032,1.172,8.423,127.686,-36.926
0.066,-0.080,1.190,6.104,135.803,-36.133
0.094,-0.057,1.212,5.493,145.813,-32.471
0.099,-0.074,1.225,1.038,159.851,-31.433
0.112,-0.066,1.167,2.502,171.509,-31.250
0.144,-0.045,1.137,3.418,179.871,-29.419
0.158,-0.076,1.120,4.089,186.157,-29.236
0.175,-0.099,1.075,5.188,192.444,-28.381
0.196,-0.083,0.997,4.272,200.562,-25.085
0.236,-0.030,0.919,1.953,208.130,-21.179
0.284,-0.016,0.860,-0.061,212.402,-18.127
0.325,-0.011,0.798,-2.197,215.210,-16.174
0.358,-0.017,0.741,-6.042,216.919,-15.320
0.380,-0.022,0.708,-10.071,218.506,-14.954
0.399,-0.054,0.756,-12.573,219.543,-13.733
0.460,-0.087,0.820,-11.841,218.384,-9.705
0.518,-0.074,0.839,-10.803,219.177,-5.005
0.575,-0.049,0.776,-9.705,222.717,-4.761
0.606,-0.054,0.665,-13.062,226.685,-8.301
0.604,-0.094,0.551,-20.447,230.225,-13.916
0.587,-0.124,0.405,-28.259,235.229,-18.982
0.576,-0.155,0.226,-34.424,238.159,-22.095
0.572,-0.202,0.049,-36.194,234.436,-22.217
0.603,-0.183,-0.084,-33.691,220.947,-16.968

