aX,aY,aZ,gX,gY,gZ
-0.709,1.698,0.811,132.874,37.170,414.246
-0.635,1.937,0.767,136.719,46.448,393.066
-0.471,2.242,0.794,140.991,47.974,370.911
-0.716,2.234,0.491,146.973,35.950,360.840
-0.395,2.445,0.452,112.854,63.782,336.426
-0.320,2.547,0.362,87.952,68.726,305.420
-0.190,2.509,0.392,71.228,58.533,255.371
-0.090,2.414,0.425,66.101,55.725,198.792
-0.089,2.244,0.390,75.134,56.458,150.818
-0.078,2.120,0.312,84.717,56.030,113.525
-0.127,1.924,0.216,88.745,53.711,85.449
-0.064,1.926,0.189,86.853,45.715,73.792
-0.078,1.922,0.179,81.177,30.640,71.472
-0.038,1.932,0.189,67.200,18.311,66.772
-0.000,1.960,0.216,50.293,13.367,56.641
0.034,1.973,0.230,37.842,14.771,38.879
0.053,1.958,0.198,31.189,16.418,16.357
0.047,1.903,0.152,26.123,14.648,-6.409
0.034,1.823,0.128,20.020,9.277,-26.794
0.008,1.715,0.103,12.329,2.075,-44.067
-0.010,1.595,0.099,2.136,-3.235,-56.763
0.001,1.482,0.125,-9.766,-7.812,-66.101
0.001,1.375,0.154,-20.203,-11.963,-73.547
0.010,1.261,0.190,-27.588,-15.381,-79.712
0.017,1.176,0.235,-31.738,-18.738,-83.374
0.039,1.114,0.267,-32.898,-22.339,-85.266
0.056,1.073,0.297,-32.959,-25.269,-86.365
0.064,1.043,0.330,-33.325,-26.489,-87.830
0.083,1.027,0.369,-34.241,-26.733,-89.722
0.096,1.019,0.387,-35.278,-25.696,-91.370
0.107,1.006,0.395,-36.499,-23.132,-92.834
0.121,0.988,0.398,-39.185,-20.752,-93.872
0.126,0.960,0.404,-43.152,-19.165,-94.238
0.131,0.933,0.422,-47.424,-17.944,-93.323
0.136,0.917,0.424,-50.598,-15.625,-90.759
0.139,0.931,0.409,-52.368,-11.841,-86.731
0.146,0.981,0.377,-53.772,-7.263,-82.275
0.159,1.047,0.336,-54.199,-4.456,-78.613
0.174,1.111,0.308,-53.589,-4.211,-77.820
0.192,1.169,0.277,-52.979,-5.554,-80.750
0.209,1.197,0.263,-54.321,-8.057,-86.792
0.216,1.213,0.265,-58.044,-10.254,-94.177
0.230,1.231,0.269,-65.857,-9.521,-99.548
0.236,1.256,0.270,-74.219,-5.737,-103.088
0.255,1.278,0.262,-81.238,-2.930,-105.591
0.279,1.304,0.250,-85.754,-2.258,-110.046
0.291,1.309,0.233,-86.548,-4.211,-117.615
0.299,1.303,0.231,-84.290,-7.874,-127.991
0.304,1.287,0.245,-79.712,-13.000,-141.235
0.310,1.262,0.269,-72.083,-17.029,-156.433
0.306,1.250,0.278,-62.134,-19.897,-173.340
0.275,1.204,0.225,-53.772,-20.752,-191.040
0.245,1.145,0.225,-56.824,-20.752,-204.468
0.245,1.105,0.263,-70.313,-19.226,-211.975
0.252,1.049,0.294,-86.365,-16.418,-216.187
0.261,0.978,0.322,-100.647,-13.977,-220.032
0.283,0.915,0.375,-111.145,-12.451,-224.792
0.304,0.841,0.391,-114.197,-11.414,-231.995
0.314,0.771,0.384,-109.985,-11.047,-242.065

-0.359,1.633,0.688,153.137,28.564,341.187
-0.290,1.823,0.627,152.283,29.663,321.594
-0.250,1.967,0.573,149.902,28.748,297.058
-0.141,2.108,0.514,145.447,28.381,271.912
-0.137,2.280,0.519,142.090,19.836,252.563
-0.229,2.378,0.300,131.348,7.751,243.103
0.058,2.529,0.292,92.041,28.687,224.915
0.098,2.553,0.260,62.805,33.936,202.698
0.237,2.542,0.261,40.588,37.781,161.072
0.263,2.382,0.226,33.081,43.640,115.417
0.246,2.230,0.170,35.156,42.664,74.158
0.205,2.042,0.068,42.725,36.987,39.490
0.168,1.906,0.017,45.044,25.818,19.714
0.160,1.797,0.023,39.734,9.277,12.146
0.180,1.720,0.077,28.442,-4.089,8.362
0.208,1.660,0.149,15.625,-8.850,1.160
0.213,1.608,0.190,6.348,-6.836,-10.010
0.198,1.541,0.180,1.099,-3.906,-23.437
0.196,1.460,0.154,-3.174,-4.089,-35.217
0.190,1.374,0.141,-8.362,-7.385,-45.105
0.192,1.283,0.174,-14.832,-11.841,-53.162
0.183,1.187,0.205,-19.897,-15.442,-59.509
0.191,1.090,0.243,-24.353,-17.151,-64.209
0.205,1.006,0.279,-28.320,-17.639,-66.711
0.210,0.937,0.306,-30.396,-17.761,-67.322
0.215,0.896,0.324,-31.616,-17.395,-65.613
0.224,0.882,0.340,-32.166,-16.602,-62.683
0.240,0.894,0.359,-32.104,-15.259,-60.120
0.260,0.919,0.384,-31.006,-13.245,-59.143
0.278,0.952,0.383,-28.687,-10.376,-60.120
