aX,aY,aZ,gX,gY,gZ
0.038,-1.013,0.032,-48.645,19.531,306.702
0.058,-1.015,0.016,-58.716,22.705,322.693
0.071,-0.980,0.025,-68.115,29.236,342.529
0.106,-0.879,0.037,-73.364,36.133,362.366
0.118,-0.770,0.044,-73.425,41.748,378.967

-0.807,1.434,-0.480,-35.339,-45.471,-456.665
-0.988,1.344,-0.468,-32.776,-57.556,-512.512
-1.169,1.244,-0.424,-29.480,-76.782,-569.031
-1.330,1.148,-0.349,-18.982,-99.426,-623.901
-1.457,0.984,-0.243,1.282,-124.634,-677.185
-1.658,0.693,-0.113,31.128,-154.419,-731.689
-1.978,0.034,0.188,50.049,-178.040,-777.222
-2.287,-0.980,0.731,24.780,-192.078,-789.246
-2.387,-1.932,1.211,-23.437,-192.749,-742.065
-2.301,-2.590,1.859,-30.457,-156.433,-641.602
-2.287,-3.212,2.154,-0.854,-86.548,-544.617
-2.355,-3.871,1.673,5.005,-6.531,-459.229
-2.267,-4.000,1.055,-30.823,56.213,-360.901
-2.052,-4.000,0.660,-67.871,77.698,-254.883
-1.785,-4.000,0.513,-77.698,65.002,-167.358
-1.510,-3.819,0.387,-59.814,37.720,-109.680
-1.194,-3.421,0.185,-32.104,11.841,-69.702
-0.815,-3.012,-0.073,-13.428,-7.385,-36.194
-0.463,-2.652,-0.315,-7.202,-20.569,-5.737
-0.183,-2.320,-0.446,-9.033,-27.649,24.536
0.011,-2.008,-0.443,-12.695,-32.715,49.927
0.145,-1.759,-0.344,-13.611,-37.964,63.477
0.208,-1.561,-0.214,-7.141,-40.039,63.171
0.251,-1.455,-0.123,6.348,-40.588,54.382
0.227,-1.414,-0.023,21.667,-41.321,41.748
0.167,-1.391,0.088,35.706,-40.771,29.602
0.092,-1.401,0.201,47.791,-40.100,22.705
0.006,-1.439,0.287,52.856,-37.048,20.691
-0.081,-1.485,0.356,50.171,-29.602,26.489
-0.153,-1.506,0.380,42.969,-20.508,38.147
-0.210,-1.498,0.365,34.241,-11.536,54.321
-0.249,-1.462,0.346,26.550,-5.310,70.862
-0.275,-1.417,0.380,21.790,-3.296,84.473
-0.295,-1.377,0.425,23.010,-2.747,93.872
-0.281,-1.387,0.398,29.785,-0.732,101.135
-0.288,-1.395,0.351,34.119,2.014,108.643
-0.286,-1.400,0.297,32.593,3.601,119.446
-0.282,-1.413,0.258,27.954,5.188,134.949
-0.270,-1.401,0.249,21.667,7.263,152.710
-0.248,-1.365,0.253,15.686,9.216,169.189
-0.216,-1.333,0.259,13.489,10.498,182.556
-0.181,-1.313,0.240,15.198,11.658,192.200
-0.153,-1.307,0.207,17.212,11.597,201.172
-0.136,-1.297,0.184,17.151,12.695,213.806
-0.110,-1.284,0.171,14.099,14.465,228.088
-0.076,-1.246,0.146,10.315,16.602,243.958
-0.041,-1.191,0.117,6.165,20.020,258.057
-0.050,-1.111,0.101,1.709,23.132,269.775
-0.026,-1.075,0.090,-2.991,26.001,280.579
0.013,-1.008,0.071,-9.277,26.611,291.199
0.058,-0.938,0.057,-17.090,26.489,299.194
0.095,-0.876,0.050,-26.123,25.330,305.664
0.130,-0.847,0.087,-33.936,24.902,310.669
0.161,-0.789,0.120,-37.903,24.414,314.026
0.195,-0.727,0.134,-35.889,25.146,316.162
0.221,-0.665,0.157,-32.166,26.306,317.871
0.231,-0.578,0.150,-29.785,27.344,318.420
0.252,-0.519,0.143,-28.992,30.579,317.810
0.285,-0.443,0.138,-28.625,31.372,315.674
0.323,-0.367,0.114,-25.085,32.166,312.683

-1.921,-2.255,0.276,43.701,-162.292,-687.195
-1.935,-2.886,0.476,-25.879,-151.184,-585.937
-1.855,-3.250,1.009,-72.021,-126.709,-460.449
-1.616,-3.392,1.601,-75.256,-93.567,-352.600
-1.430,-3.480,1.615,-32.227,-51.514,-278.931
-1.344,-3.525,1.174,14.832,-7.996,-227.112
-1.245,-3.474,0.687,28.198,23.010,-174.927
-1.051,-3.312,0.333,13.367,31.860,-114.807
-0.801,-3.015,0.209,-7.996,22.522,-53.284
-0.540,-2.651,0.174,-18.433,8.667,-2.625
-0.312,-2.312,0.089,-14.282,-0.061,33.630
-0.105,-1.996,-0.042,-7.446,-3.662,59.204
0.025,-1.740,-0.142,-6.226,-4.150,74.036
0.124,-1.542,-0.190,-8.179,-3.357,81.970
0.199,-1.415,-0.188,-9.827,-3.967,84.778
0.276,-1.336,-0.166,-8.362,-5.127,82.642
0.339,-1.301,-0.115,-3.845,-8.057,77.148
0.380,-1.289,-0.032,2.380,-11.536,69.885
0.380,-1.301,0.059,10.437,-14.221,63.843
0.345,-1.328,0.152,19.165,-15.808,59.692
0.295,-1.367,0.233,25.574,-15.869,59.021
0.236,-1.392,0.302,29.053,-13.733,63.049
0.173,-1.407,0.345,30.457,-9.033,69.824
0.119,-1.404,0.374,29.907,-5.066,77.759
0.095,-1.394,0.392,28.442,-2.441,85.205
0.090,-1.370,0.388,26.001,0.122,92.773
0.103,-1.328,0.395,23.193,1.709,100.220
0.118,-1.277,0.404,20.447,3.357,107.361
0.126,-1.229,0.415,19.104,6.897,113.525
0.130,-1.181,0.419,19.897,11.597,117.920
0.144,-1.138,0.401,22.644,16.968,120.667
0.153,-1.083,0.349,26.062,21.362,121.704
0.157,-1.038,0.313,30.762,25.024,121.643
0.169,-1.025,0.263,34.241,27.405,121.765
0.170,-1.014,0.197,31.738,28.503,123.718
0.185,-1.008,0.158,24.719,29.419,128.479
0.197,-1.015,0.133,17.334,29.724,135.681
0.203,-1.022,0.143,12.207,28.870,142.151
0.214,-1.029,0.176,11.292,27.527,147.705
0.229,-1.049,0.198,14.221,27.283,151.978
0.245,-1.055,0.187,16.846,28.503,156.555
0.256,-1.059,0.162,17.944,30.396,162.537
0.266,-1.078,0.109,17.761,33.325,171.143
0.255,-1.102,0.064,14.160,35.583,181.885
0.251,-1.084,0.051,6.104,35.828,195.374
0.257,-1.039,0.049,-2.319,34.729,209.961
0.273,-0.988,0.043,-8.423,35.583,223.267
0.287,-0.907,0.040,-13.550,36.682,233.704
0.315,-0.856,0.050,-13.977,39.063,239.868
0.341,-0.814,0.060,-12.207,38.818,241.577
0.368,-0.745,0.048,-9.155,37.781,241.089
0.386,-0.705,0.041,-4.944,37.109,239.197
0.419,-0.650,0.027,-1.404,35.767,240.906
0.443,-0.576,0.004,0.000,34.241,244.141
0.445,-0.511,0.015,-0.793,32.410,248.535
0.484,-0.447,0.026,-5.188,28.320,254.822
0.524,-0.382,0.067,-7.263,26.062,262.512
0.547,-0.272,0.111,-8.728,25.269,269.470
0.570,-0.163,0.110,-6.470,29.602,273.254
0.595,-0.063,0.116,-2.747,35.156,275.024

-0.521,-1.754,1.472,-216.125,-116.333,-324.768
-0.402,-1.889,1.764,-211.670,-74.158,-268.494
-0.304,-1.995,1.777,-154.297,-42.908,-244.629
-0.281,-2.153,1.531,-79.895,-32.166,-249.634
-0.320,-2.375,1.274,-17.883,-33.813,-258.179
-0.371,-2.610,1.110,16.968,-41.870,-249.146
-0.365,-2.782,1.058,19.409,-44.006,-213.013
-0.307,-2.813,1.036,-5.066,-32.043,-154.480
-0.223,-2.690,0.994,-35.461,-9.949,-90.759
-0.126,-2.493,0.830,-53.162,9.705,-36.621
0.003,-2.271,0.648,-54.260,17.334,-0.854
0.116,-2.089,0.485,-41.748,14.160,19.348
0.221,-1.899,0.350,-22.766,6.165,33.081
0.313,-1.709,0.265,-6.714,-2.747,41.748
0.403,-1.547,0.211,3.052,-9.460,47.974
0.471,-1.417,0.203,7.202,-14.038,52.368
0.515,-1.290,0.231,10.010,-17.273,54.626
0.541,-1.203,0.276,13.367,-20.020,54.260
0.559,-1.161,0.353,16.235,-22.339,51.758
0.561,-1.130,0.460,20.874,-23.010,48.401
0.546,-1.106,0.536,30.579,-20.996,44.373
0.525,-1.107,0.587,42.053,-16.907,39.673
0.501,-1.116,0.631,49.927,-12.329,35.522
0.477,-1.115,0.627,53.894,-6.897,34.485
0.448,-1.133,0.639,53.284,-1.099,36.682
0.420,-1.152,0.662,49.500,4.822,40.527
0.388,-1.176,0.670,48.889,10.742,44.983
0.362,-1.200,0.661,52.429,16.052,48.950
0.339,-1.230,0.655,57.861,19.775,53.345
0.322,-1.263,0.655,65.002,23.315,58.289
0.302,-1.297,0.647,75.684,28.992,65.613
0.274,-1.313,0.613,89.722,36.011,75.317
0.249,-1.300,0.548,103.333,43.762,87.402
0.238,-1.266,0.472,110.779,49.438,101.257
0.217,-1.222,0.408,110.840,52.185,114.014
0.213,-1.192,0.354,107.788,52.063,125.305
0.227,-1.167,0.303,106.384,50.476,136.169
0.236,-1.125,0.265,105.469,45.837,144.531
0.242,-1.083,0.240,105.652,40.283,151.001
0.261,-1.067,0.229,106.628,34.851,156.555
0.280,-1.023,0.205,107.117,30.151,162.231
0.297,-0.969,0.182,106.567,27.161,167.725
0.314,-0.907,0.172,104.797,25.513,172.913
0.333,-0.843,0.154,100.647,23.560,176.697
0.342,-0.803,0.123,95.642,23.010,180.054
0.349,-0.773,0.112,88.562,23.560,184.814
0.357,-0.764,0.091,81.665,25.146,191.406
